CURRENT DATE,Document Number,Transaction Number,External ID,Status,Name,Amount,Amount Unbilled,Memo (Main),PEFC Transaction,FSC Transaction,Date,Allocation Date,Mill Order Number,PO#,Carrier Unit No,Sales Rep,Formula (Text),Formula (Numeric),Formula (Text),Formula (Numeric)
"THU, 07/18/2024",SO65696,SALESORD65696,SO-E0723QB1-090900,Billed,Quad Graphics Inc. (PARENT) : Quad Graphics Inc./Box Springs,1234.34,.00,Sales Order created for load E0723QB1,Yes,No,7/17/2024,7/1/2024,090900,4778515,82413353,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65695,SALESORD65695,SO-E0723QB1-090769,Billed,Quad Graphics Inc. (PARENT) : Quad Graphics Inc./Box Springs,15933.67,.00,Sales Order created for load E0723QB1,Yes,No,7/17/2024,7/1/2024,090769,4776517,82413353,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68373,PURCHORD68373,E0718TC4,Pending Bill,Bison Transport  (C$),998.59,-998.59,Freight PO created from TM Load E0718TC4,,,7/17/2024,,,E0718TC4,93050,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68372,PURCHORD68372,E0718GG1,Pending Bill,TransX Ltd.,3311.24,-3311.24,Freight PO created from TM Load E0718GG1,,,7/17/2024,,,E0718GG1,84321006R,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68371,PURCHORD68371,E0517XS7,Pending Bill,Pangea Logistics Inc. - OCTS,.00,.00,Freight PO created from TM Load E0517XS7,,,7/17/2024,,,E0517XS7,CSNU6577812,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68370,PURCHORD68370,E0723HP1,Pending Bill,Loblaw Transport Inc,2846.44,-2846.44,Freight PO created from TM Load E0723HP1,,,7/17/2024,,,E0723HP1,ELFC5088,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68368,PURCHORD68368,E0725TG2,Pending Bill,TransX Intermodal,3102.12,-3102.12,Freight PO created from TM Load E0725TG2,,,7/17/2024,,,E0725TG2,TNXU284132,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68367,PURCHORD68367,E0517XS6,Pending Bill,Pangea Logistics Inc. - OCTS,.00,.00,Freight PO created from TM Load E0517XS6,,,7/17/2024,,,E0517XS6,CSNU8310825,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68365,PURCHORD68365,E0725TG1,Pending Bill,TransX Intermodal,3102.12,-3102.12,Freight PO created from TM Load E0725TG1,,,7/17/2024,,,E0725TG1,TNXU289054,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68364,PURCHORD68364,E0517XS4,Pending Bill,Pangea Logistics Inc. - OCTS,.00,.00,Freight PO created from TM Load E0517XS4,,,7/17/2024,,,E0517XS4,DRYU9699993,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68361,PURCHORD68361,E0722EC1,Pending Bill,TransX Ltd.,2484.77,-2484.77,Freight PO created from TM Load E0722EC1,,,7/17/2024,,,E0722EC1,8432936R,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68360,PURCHORD68360,E0718TC5,Pending Bill,Bison Transport  (C$),850.92,-850.92,Freight PO created from TM Load E0718TC5,,,7/17/2024,,,E0718TC5,82461,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68359,PURCHORD68359,E0718TG5,Pending Bill,TQL Intermodal,3550.63,-3550.63,Freight PO created from TM Load E0718TG5,,,7/17/2024,,,E0718TG5,CPPU237626,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68358,PURCHORD68358,E0708AC2,Pending Bill,Bison Transport  (C$),773.56,-773.56,Freight PO created from TM Load E0708AC2,,,7/17/2024,,,E0708AC2,81893,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68357,PURCHORD68357,E0719AC2,Pending Bill,Raj Cargo Transport Inc.,735.00,-735.00,Freight PO created from TM Load E0719AC2,,,7/17/2024,,,E0719AC2,RC53V61,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68356,PURCHORD68356,E0517XS3,Pending Bill,Pangea Logistics Inc. - OCTS,.00,.00,Freight PO created from TM Load E0517XS3,,,7/17/2024,,,E0517XS3,CBHU9527566,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68355,PURCHORD68355,E0517XS2,Pending Bill,Pangea Logistics Inc. - OCTS,.00,.00,Freight PO created from TM Load E0517XS2,,,7/17/2024,,,E0517XS2,FFAU3473205,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",PO68353,PURCHORD68353,E0723QB1,Pending Bill,Loblaw Transport Inc,2846.44,-2846.44,Freight PO created from TM Load E0723QB1,,,7/17/2024,,,E0723QB1,82413353,,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
Total,,,,,,291977.92,-24601.83,,,,,,,,,,,54.334583333333335,,36.0
